variant,slot,local,half_local,signed_distance,baseline_distance,actual_delta,best_odd_cycle_len_at_slot,odd_cycle_count_containing_slot,has_odd_triangle
original,0,0,30,3,4,-1,3,2930,True
original,0,1,31,3,3,0,3,2930,True
original,0,2,32,2,2,0,3,2930,True
original,0,3,33,3,3,0,3,2930,True
original,0,4,34,3,4,-1,3,2930,True
original,0,5,35,3,6,-3,3,2930,True
original,0,6,36,3,4,-1,3,2930,True
original,0,7,37,2,2,0,3,2930,True
original,0,8,38,2,2,0,3,2930,True
original,0,9,39,3,4,-1,3,2930,True
original,0,10,40,2,2,0,3,2930,True
original,0,11,41,3,3,0,3,2930,True
original,0,12,42,3,4,-1,3,2930,True
original,0,13,43,3,4,-1,3,2930,True
original,0,14,44,3,3,0,3,2930,True
original,0,15,45,2,2,0,3,2930,True
original,0,16,46,3,3,0,3,2930,True
original,0,17,47,3,4,-1,3,2930,True
original,0,18,48,3,4,-1,3,2930,True
original,0,19,49,3,3,0,3,2930,True
original,0,20,50,2,2,0,3,2930,True
original,0,21,51,3,3,0,3,2930,True
original,0,22,52,3,4,-1,3,2930,True
original,0,23,53,3,4,-1,3,2930,True
original,0,24,54,3,3,0,3,2930,True
original,0,25,55,2,2,0,3,2930,True
original,0,26,56,3,3,0,3,2930,True
original,0,27,57,3,4,-1,3,2930,True
original,0,28,58,3,4,-1,3,2930,True
original,0,29,59,3,3,0,3,2930,True
original,0,30,0,3,4,-1,3,2930,True
original,0,31,1,3,3,0,3,2930,True
original,0,32,2,2,2,0,3,2930,True
original,0,33,3,3,3,0,3,2930,True
original,0,34,4,3,4,-1,3,2930,True
original,0,35,5,3,6,-3,3,2930,True
original,0,36,6,3,4,-1,3,2930,True
original,0,37,7,2,2,0,3,2930,True
original,0,38,8,2,2,0,3,2930,True
original,0,39,9,3,4,-1,3,2930,True
original,0,40,10,2,2,0,3,2930,True
original,0,41,11,3,3,0,3,2930,True
original,0,42,12,3,4,-1,3,2930,True
original,0,43,13,3,4,-1,3,2930,True
original,0,44,14,3,3,0,3,2930,True
original,0,45,15,2,2,0,3,2930,True
original,0,46,16,3,3,0,3,2930,True
original,0,47,17,3,4,-1,3,2930,True
original,0,48,18,3,4,-1,3,2930,True
original,0,49,19,3,3,0,3,2930,True
original,0,50,20,2,2,0,3,2930,True
original,0,51,21,3,3,0,3,2930,True
original,0,52,22,3,4,-1,3,2930,True
original,0,53,23,3,4,-1,3,2930,True
original,0,54,24,3,3,0,3,2930,True
original,0,55,25,2,2,0,3,2930,True
original,0,56,26,3,3,0,3,2930,True
original,0,57,27,3,4,-1,3,2930,True
original,0,58,28,3,4,-1,3,2930,True
original,0,59,29,3,3,0,3,2930,True
original,1,0,30,3,4,-1,3,2930,True
original,1,1,31,3,3,0,3,2930,True
original,1,2,32,2,2,0,3,2930,True
original,1,3,33,3,3,0,3,2930,True
original,1,4,34,3,4,-1,3,2930,True
original,1,5,35,3,6,-3,3,2930,True
original,1,6,36,3,4,-1,3,2930,True
original,1,7,37,2,2,0,3,2930,True
original,1,8,38,2,2,0,3,2930,True
original,1,9,39,3,4,-1,3,2930,True
original,1,10,40,2,2,0,3,2930,True
original,1,11,41,3,3,0,3,2930,True
original,1,12,42,3,4,-1,3,2930,True
original,1,13,43,3,4,-1,3,2930,True
original,1,14,44,3,3,0,3,2930,True
original,1,15,45,2,2,0,3,2930,True
original,1,16,46,3,3,0,3,2930,True
original,1,17,47,3,4,-1,3,2930,True
original,1,18,48,3,4,-1,3,2930,True
original,1,19,49,3,3,0,3,2930,True
original,1,20,50,2,2,0,3,2930,True
original,1,21,51,3,3,0,3,2930,True
original,1,22,52,3,4,-1,3,2930,True
original,1,23,53,3,4,-1,3,2930,True
original,1,24,54,3,3,0,3,2930,True
original,1,25,55,2,2,0,3,2930,True
original,1,26,56,3,3,0,3,2930,True
original,1,27,57,3,4,-1,3,2930,True
original,1,28,58,3,4,-1,3,2930,True
original,1,29,59,3,3,0,3,2930,True
original,1,30,0,3,4,-1,3,2930,True
original,1,31,1,3,3,0,3,2930,True
original,1,32,2,2,2,0,3,2930,True
original,1,33,3,3,3,0,3,2930,True
original,1,34,4,3,4,-1,3,2930,True
original,1,35,5,3,6,-3,3,2930,True
original,1,36,6,3,4,-1,3,2930,True
original,1,37,7,2,2,0,3,2930,True
original,1,38,8,2,2,0,3,2930,True
original,1,39,9,3,4,-1,3,2930,True
original,1,40,10,2,2,0,3,2930,True
original,1,41,11,3,3,0,3,2930,True
original,1,42,12,3,4,-1,3,2930,True
original,1,43,13,3,4,-1,3,2930,True
original,1,44,14,3,3,0,3,2930,True
original,1,45,15,2,2,0,3,2930,True
original,1,46,16,3,3,0,3,2930,True
original,1,47,17,3,4,-1,3,2930,True
original,1,48,18,3,4,-1,3,2930,True
original,1,49,19,3,3,0,3,2930,True
original,1,50,20,2,2,0,3,2930,True
original,1,51,21,3,3,0,3,2930,True
original,1,52,22,3,4,-1,3,2930,True
original,1,53,23,3,4,-1,3,2930,True
original,1,54,24,3,3,0,3,2930,True
original,1,55,25,2,2,0,3,2930,True
original,1,56,26,3,3,0,3,2930,True
original,1,57,27,3,4,-1,3,2930,True
original,1,58,28,3,4,-1,3,2930,True
original,1,59,29,3,3,0,3,2930,True
original,2,0,30,3,4,-1,3,2898,True
original,2,1,31,3,3,0,3,2898,True
original,2,2,32,2,2,0,3,2898,True
original,2,3,33,3,3,0,3,2898,True
original,2,4,34,3,4,-1,3,2898,True
original,2,5,35,3,6,-3,3,2898,True
original,2,6,36,3,4,-1,3,2898,True
original,2,7,37,2,2,0,3,2898,True
original,2,8,38,2,2,0,3,2898,True
original,2,9,39,3,4,-1,3,2898,True
original,2,10,40,2,2,0,3,2898,True
original,2,11,41,3,3,0,3,2898,True
original,2,12,42,3,4,-1,3,2898,True
original,2,13,43,3,4,-1,3,2898,True
original,2,14,44,3,3,0,3,2898,True
original,2,15,45,2,2,0,3,2898,True
original,2,16,46,3,3,0,3,2898,True
original,2,17,47,3,4,-1,3,2898,True
original,2,18,48,3,4,-1,3,2898,True
original,2,19,49,3,3,0,3,2898,True
original,2,20,50,2,2,0,3,2898,True
original,2,21,51,3,3,0,3,2898,True
original,2,22,52,3,4,-1,3,2898,True
original,2,23,53,3,4,-1,3,2898,True
original,2,24,54,3,3,0,3,2898,True
original,2,25,55,2,2,0,3,2898,True
original,2,26,56,3,3,0,3,2898,True
original,2,27,57,3,4,-1,3,2898,True
original,2,28,58,3,4,-1,3,2898,True
original,2,29,59,3,3,0,3,2898,True
original,2,30,0,3,4,-1,3,2898,True
original,2,31,1,3,3,0,3,2898,True
original,2,32,2,2,2,0,3,2898,True
original,2,33,3,3,3,0,3,2898,True
original,2,34,4,3,4,-1,3,2898,True
original,2,35,5,3,6,-3,3,2898,True
original,2,36,6,3,4,-1,3,2898,True
original,2,37,7,2,2,0,3,2898,True
original,2,38,8,2,2,0,3,2898,True
original,2,39,9,3,4,-1,3,2898,True
original,2,40,10,2,2,0,3,2898,True
original,2,41,11,3,3,0,3,2898,True
original,2,42,12,3,4,-1,3,2898,True
original,2,43,13,3,4,-1,3,2898,True
original,2,44,14,3,3,0,3,2898,True
original,2,45,15,2,2,0,3,2898,True
original,2,46,16,3,3,0,3,2898,True
original,2,47,17,3,4,-1,3,2898,True
original,2,48,18,3,4,-1,3,2898,True
original,2,49,19,3,3,0,3,2898,True
original,2,50,20,2,2,0,3,2898,True
original,2,51,21,3,3,0,3,2898,True
original,2,52,22,3,4,-1,3,2898,True
original,2,53,23,3,4,-1,3,2898,True
original,2,54,24,3,3,0,3,2898,True
original,2,55,25,2,2,0,3,2898,True
original,2,56,26,3,3,0,3,2898,True
original,2,57,27,3,4,-1,3,2898,True
original,2,58,28,3,4,-1,3,2898,True
original,2,59,29,3,3,0,3,2898,True
original,3,0,30,3,4,-1,3,2913,True
original,3,1,31,3,3,0,3,2913,True
original,3,2,32,2,2,0,3,2913,True
original,3,3,33,3,3,0,3,2913,True
original,3,4,34,3,4,-1,3,2913,True
original,3,5,35,3,6,-3,3,2913,True
original,3,6,36,3,4,-1,3,2913,True
original,3,7,37,2,2,0,3,2913,True
original,3,8,38,2,2,0,3,2913,True
original,3,9,39,3,4,-1,3,2913,True
original,3,10,40,2,2,0,3,2913,True
original,3,11,41,3,3,0,3,2913,True
original,3,12,42,3,4,-1,3,2913,True
original,3,13,43,3,4,-1,3,2913,True
original,3,14,44,3,3,0,3,2913,True
original,3,15,45,2,2,0,3,2913,True
original,3,16,46,3,3,0,3,2913,True
original,3,17,47,3,4,-1,3,2913,True
original,3,18,48,3,4,-1,3,2913,True
original,3,19,49,3,3,0,3,2913,True
original,3,20,50,2,2,0,3,2913,True
original,3,21,51,3,3,0,3,2913,True
original,3,22,52,3,4,-1,3,2913,True
original,3,23,53,3,4,-1,3,2913,True
original,3,24,54,3,3,0,3,2913,True
original,3,25,55,2,2,0,3,2913,True
original,3,26,56,3,3,0,3,2913,True
original,3,27,57,3,4,-1,3,2913,True
original,3,28,58,3,4,-1,3,2913,True
original,3,29,59,3,3,0,3,2913,True
original,3,30,0,3,4,-1,3,2913,True
original,3,31,1,3,3,0,3,2913,True
original,3,32,2,2,2,0,3,2913,True
original,3,33,3,3,3,0,3,2913,True
original,3,34,4,3,4,-1,3,2913,True
original,3,35,5,3,6,-3,3,2913,True
original,3,36,6,3,4,-1,3,2913,True
original,3,37,7,2,2,0,3,2913,True
original,3,38,8,2,2,0,3,2913,True
original,3,39,9,3,4,-1,3,2913,True
original,3,40,10,2,2,0,3,2913,True
original,3,41,11,3,3,0,3,2913,True
original,3,42,12,3,4,-1,3,2913,True
original,3,43,13,3,4,-1,3,2913,True
original,3,44,14,3,3,0,3,2913,True
original,3,45,15,2,2,0,3,2913,True
original,3,46,16,3,3,0,3,2913,True
original,3,47,17,3,4,-1,3,2913,True
original,3,48,18,3,4,-1,3,2913,True
original,3,49,19,3,3,0,3,2913,True
original,3,50,20,2,2,0,3,2913,True
original,3,51,21,3,3,0,3,2913,True
original,3,52,22,3,4,-1,3,2913,True
original,3,53,23,3,4,-1,3,2913,True
original,3,54,24,3,3,0,3,2913,True
original,3,55,25,2,2,0,3,2913,True
original,3,56,26,3,3,0,3,2913,True
original,3,57,27,3,4,-1,3,2913,True
original,3,58,28,3,4,-1,3,2913,True
original,3,59,29,3,3,0,3,2913,True
original,4,0,30,3,4,-1,3,2913,True
original,4,1,31,3,3,0,3,2913,True
original,4,2,32,2,2,0,3,2913,True
original,4,3,33,3,3,0,3,2913,True
original,4,4,34,3,4,-1,3,2913,True
original,4,5,35,3,6,-3,3,2913,True
original,4,6,36,3,4,-1,3,2913,True
original,4,7,37,2,2,0,3,2913,True
original,4,8,38,2,2,0,3,2913,True
original,4,9,39,3,4,-1,3,2913,True
original,4,10,40,2,2,0,3,2913,True
original,4,11,41,3,3,0,3,2913,True
original,4,12,42,3,4,-1,3,2913,True
original,4,13,43,3,4,-1,3,2913,True
original,4,14,44,3,3,0,3,2913,True
original,4,15,45,2,2,0,3,2913,True
original,4,16,46,3,3,0,3,2913,True
original,4,17,47,3,4,-1,3,2913,True
original,4,18,48,3,4,-1,3,2913,True
original,4,19,49,3,3,0,3,2913,True
original,4,20,50,2,2,0,3,2913,True
original,4,21,51,3,3,0,3,2913,True
original,4,22,52,3,4,-1,3,2913,True
original,4,23,53,3,4,-1,3,2913,True
original,4,24,54,3,3,0,3,2913,True
original,4,25,55,2,2,0,3,2913,True
original,4,26,56,3,3,0,3,2913,True
original,4,27,57,3,4,-1,3,2913,True
original,4,28,58,3,4,-1,3,2913,True
original,4,29,59,3,3,0,3,2913,True
original,4,30,0,3,4,-1,3,2913,True
original,4,31,1,3,3,0,3,2913,True
original,4,32,2,2,2,0,3,2913,True
original,4,33,3,3,3,0,3,2913,True
original,4,34,4,3,4,-1,3,2913,True
original,4,35,5,3,6,-3,3,2913,True
original,4,36,6,3,4,-1,3,2913,True
original,4,37,7,2,2,0,3,2913,True
original,4,38,8,2,2,0,3,2913,True
original,4,39,9,3,4,-1,3,2913,True
original,4,40,10,2,2,0,3,2913,True
original,4,41,11,3,3,0,3,2913,True
original,4,42,12,3,4,-1,3,2913,True
original,4,43,13,3,4,-1,3,2913,True
original,4,44,14,3,3,0,3,2913,True
original,4,45,15,2,2,0,3,2913,True
original,4,46,16,3,3,0,3,2913,True
original,4,47,17,3,4,-1,3,2913,True
original,4,48,18,3,4,-1,3,2913,True
original,4,49,19,3,3,0,3,2913,True
original,4,50,20,2,2,0,3,2913,True
original,4,51,21,3,3,0,3,2913,True
original,4,52,22,3,4,-1,3,2913,True
original,4,53,23,3,4,-1,3,2913,True
original,4,54,24,3,3,0,3,2913,True
original,4,55,25,2,2,0,3,2913,True
original,4,56,26,3,3,0,3,2913,True
original,4,57,27,3,4,-1,3,2913,True
original,4,58,28,3,4,-1,3,2913,True
original,4,59,29,3,3,0,3,2913,True
original,5,0,30,3,4,-1,3,2898,True
original,5,1,31,3,3,0,3,2898,True
original,5,2,32,2,2,0,3,2898,True
original,5,3,33,3,3,0,3,2898,True
original,5,4,34,3,4,-1,3,2898,True
original,5,5,35,3,6,-3,3,2898,True
original,5,6,36,3,4,-1,3,2898,True
original,5,7,37,2,2,0,3,2898,True
original,5,8,38,2,2,0,3,2898,True
original,5,9,39,3,4,-1,3,2898,True
original,5,10,40,2,2,0,3,2898,True
original,5,11,41,3,3,0,3,2898,True
original,5,12,42,3,4,-1,3,2898,True
original,5,13,43,3,4,-1,3,2898,True
original,5,14,44,3,3,0,3,2898,True
original,5,15,45,2,2,0,3,2898,True
original,5,16,46,3,3,0,3,2898,True
original,5,17,47,3,4,-1,3,2898,True
original,5,18,48,3,4,-1,3,2898,True
original,5,19,49,3,3,0,3,2898,True
original,5,20,50,2,2,0,3,2898,True
original,5,21,51,3,3,0,3,2898,True
original,5,22,52,3,4,-1,3,2898,True
original,5,23,53,3,4,-1,3,2898,True
original,5,24,54,3,3,0,3,2898,True
original,5,25,55,2,2,0,3,2898,True
original,5,26,56,3,3,0,3,2898,True
original,5,27,57,3,4,-1,3,2898,True
original,5,28,58,3,4,-1,3,2898,True
original,5,29,59,3,3,0,3,2898,True
original,5,30,0,3,4,-1,3,2898,True
original,5,31,1,3,3,0,3,2898,True
original,5,32,2,2,2,0,3,2898,True
original,5,33,3,3,3,0,3,2898,True
original,5,34,4,3,4,-1,3,2898,True
original,5,35,5,3,6,-3,3,2898,True
original,5,36,6,3,4,-1,3,2898,True
original,5,37,7,2,2,0,3,2898,True
original,5,38,8,2,2,0,3,2898,True
original,5,39,9,3,4,-1,3,2898,True
original,5,40,10,2,2,0,3,2898,True
original,5,41,11,3,3,0,3,2898,True
original,5,42,12,3,4,-1,3,2898,True
original,5,43,13,3,4,-1,3,2898,True
original,5,44,14,3,3,0,3,2898,True
original,5,45,15,2,2,0,3,2898,True
original,5,46,16,3,3,0,3,2898,True
original,5,47,17,3,4,-1,3,2898,True
original,5,48,18,3,4,-1,3,2898,True
original,5,49,19,3,3,0,3,2898,True
original,5,50,20,2,2,0,3,2898,True
original,5,51,21,3,3,0,3,2898,True
original,5,52,22,3,4,-1,3,2898,True
original,5,53,23,3,4,-1,3,2898,True
original,5,54,24,3,3,0,3,2898,True
original,5,55,25,2,2,0,3,2898,True
original,5,56,26,3,3,0,3,2898,True
original,5,57,27,3,4,-1,3,2898,True
original,5,58,28,3,4,-1,3,2898,True
original,5,59,29,3,3,0,3,2898,True
original,6,0,30,3,4,-1,3,2913,True
original,6,1,31,3,3,0,3,2913,True
original,6,2,32,2,2,0,3,2913,True
original,6,3,33,3,3,0,3,2913,True
original,6,4,34,3,4,-1,3,2913,True
original,6,5,35,3,6,-3,3,2913,True
original,6,6,36,3,4,-1,3,2913,True
original,6,7,37,2,2,0,3,2913,True
original,6,8,38,2,2,0,3,2913,True
original,6,9,39,3,4,-1,3,2913,True
original,6,10,40,2,2,0,3,2913,True
original,6,11,41,3,3,0,3,2913,True
original,6,12,42,3,4,-1,3,2913,True
original,6,13,43,3,4,-1,3,2913,True
original,6,14,44,3,3,0,3,2913,True
original,6,15,45,2,2,0,3,2913,True
original,6,16,46,3,3,0,3,2913,True
original,6,17,47,3,4,-1,3,2913,True
original,6,18,48,3,4,-1,3,2913,True
original,6,19,49,3,3,0,3,2913,True
original,6,20,50,2,2,0,3,2913,True
original,6,21,51,3,3,0,3,2913,True
original,6,22,52,3,4,-1,3,2913,True
original,6,23,53,3,4,-1,3,2913,True
original,6,24,54,3,3,0,3,2913,True
original,6,25,55,2,2,0,3,2913,True
original,6,26,56,3,3,0,3,2913,True
original,6,27,57,3,4,-1,3,2913,True
original,6,28,58,3,4,-1,3,2913,True
original,6,29,59,3,3,0,3,2913,True
original,6,30,0,3,4,-1,3,2913,True
original,6,31,1,3,3,0,3,2913,True
original,6,32,2,2,2,0,3,2913,True
original,6,33,3,3,3,0,3,2913,True
original,6,34,4,3,4,-1,3,2913,True
original,6,35,5,3,6,-3,3,2913,True
original,6,36,6,3,4,-1,3,2913,True
original,6,37,7,2,2,0,3,2913,True
original,6,38,8,2,2,0,3,2913,True
original,6,39,9,3,4,-1,3,2913,True
original,6,40,10,2,2,0,3,2913,True
original,6,41,11,3,3,0,3,2913,True
original,6,42,12,3,4,-1,3,2913,True
original,6,43,13,3,4,-1,3,2913,True
original,6,44,14,3,3,0,3,2913,True
original,6,45,15,2,2,0,3,2913,True
original,6,46,16,3,3,0,3,2913,True
original,6,47,17,3,4,-1,3,2913,True
original,6,48,18,3,4,-1,3,2913,True
original,6,49,19,3,3,0,3,2913,True
original,6,50,20,2,2,0,3,2913,True
original,6,51,21,3,3,0,3,2913,True
original,6,52,22,3,4,-1,3,2913,True
original,6,53,23,3,4,-1,3,2913,True
original,6,54,24,3,3,0,3,2913,True
original,6,55,25,2,2,0,3,2913,True
original,6,56,26,3,3,0,3,2913,True
original,6,57,27,3,4,-1,3,2913,True
original,6,58,28,3,4,-1,3,2913,True
original,6,59,29,3,3,0,3,2913,True
original,7,0,30,3,4,-1,3,2913,True
original,7,1,31,3,3,0,3,2913,True
original,7,2,32,2,2,0,3,2913,True
original,7,3,33,3,3,0,3,2913,True
original,7,4,34,3,4,-1,3,2913,True
original,7,5,35,3,6,-3,3,2913,True
original,7,6,36,3,4,-1,3,2913,True
original,7,7,37,2,2,0,3,2913,True
original,7,8,38,2,2,0,3,2913,True
original,7,9,39,3,4,-1,3,2913,True
original,7,10,40,2,2,0,3,2913,True
original,7,11,41,3,3,0,3,2913,True
original,7,12,42,3,4,-1,3,2913,True
original,7,13,43,3,4,-1,3,2913,True
original,7,14,44,3,3,0,3,2913,True
original,7,15,45,2,2,0,3,2913,True
original,7,16,46,3,3,0,3,2913,True
original,7,17,47,3,4,-1,3,2913,True
original,7,18,48,3,4,-1,3,2913,True
original,7,19,49,3,3,0,3,2913,True
original,7,20,50,2,2,0,3,2913,True
original,7,21,51,3,3,0,3,2913,True
original,7,22,52,3,4,-1,3,2913,True
original,7,23,53,3,4,-1,3,2913,True
original,7,24,54,3,3,0,3,2913,True
original,7,25,55,2,2,0,3,2913,True
original,7,26,56,3,3,0,3,2913,True
original,7,27,57,3,4,-1,3,2913,True
original,7,28,58,3,4,-1,3,2913,True
original,7,29,59,3,3,0,3,2913,True
original,7,30,0,3,4,-1,3,2913,True
original,7,31,1,3,3,0,3,2913,True
original,7,32,2,2,2,0,3,2913,True
original,7,33,3,3,3,0,3,2913,True
original,7,34,4,3,4,-1,3,2913,True
original,7,35,5,3,6,-3,3,2913,True
original,7,36,6,3,4,-1,3,2913,True
original,7,37,7,2,2,0,3,2913,True
original,7,38,8,2,2,0,3,2913,True
original,7,39,9,3,4,-1,3,2913,True
original,7,40,10,2,2,0,3,2913,True
original,7,41,11,3,3,0,3,2913,True
original,7,42,12,3,4,-1,3,2913,True
original,7,43,13,3,4,-1,3,2913,True
original,7,44,14,3,3,0,3,2913,True
original,7,45,15,2,2,0,3,2913,True
original,7,46,16,3,3,0,3,2913,True
original,7,47,17,3,4,-1,3,2913,True
original,7,48,18,3,4,-1,3,2913,True
original,7,49,19,3,3,0,3,2913,True
original,7,50,20,2,2,0,3,2913,True
original,7,51,21,3,3,0,3,2913,True
original,7,52,22,3,4,-1,3,2913,True
original,7,53,23,3,4,-1,3,2913,True
original,7,54,24,3,3,0,3,2913,True
original,7,55,25,2,2,0,3,2913,True
original,7,56,26,3,3,0,3,2913,True
original,7,57,27,3,4,-1,3,2913,True
original,7,58,28,3,4,-1,3,2913,True
original,7,59,29,3,3,0,3,2913,True
original,8,0,30,3,4,-1,3,2909,True
original,8,1,31,3,3,0,3,2909,True
original,8,2,32,2,2,0,3,2909,True
original,8,3,33,3,3,0,3,2909,True
original,8,4,34,3,4,-1,3,2909,True
original,8,5,35,3,6,-3,3,2909,True
original,8,6,36,3,4,-1,3,2909,True
original,8,7,37,2,2,0,3,2909,True
original,8,8,38,2,2,0,3,2909,True
original,8,9,39,3,4,-1,3,2909,True
original,8,10,40,2,2,0,3,2909,True
original,8,11,41,3,3,0,3,2909,True
original,8,12,42,3,4,-1,3,2909,True
original,8,13,43,3,4,-1,3,2909,True
original,8,14,44,3,3,0,3,2909,True
original,8,15,45,2,2,0,3,2909,True
original,8,16,46,3,3,0,3,2909,True
original,8,17,47,3,4,-1,3,2909,True
original,8,18,48,3,4,-1,3,2909,True
original,8,19,49,3,3,0,3,2909,True
original,8,20,50,2,2,0,3,2909,True
original,8,21,51,3,3,0,3,2909,True
original,8,22,52,3,4,-1,3,2909,True
original,8,23,53,3,4,-1,3,2909,True
original,8,24,54,3,3,0,3,2909,True
original,8,25,55,2,2,0,3,2909,True
original,8,26,56,3,3,0,3,2909,True
original,8,27,57,3,4,-1,3,2909,True
original,8,28,58,3,4,-1,3,2909,True
original,8,29,59,3,3,0,3,2909,True
original,8,30,0,3,4,-1,3,2909,True
original,8,31,1,3,3,0,3,2909,True
original,8,32,2,2,2,0,3,2909,True
original,8,33,3,3,3,0,3,2909,True
original,8,34,4,3,4,-1,3,2909,True
original,8,35,5,3,6,-3,3,2909,True
original,8,36,6,3,4,-1,3,2909,True
original,8,37,7,2,2,0,3,2909,True
original,8,38,8,2,2,0,3,2909,True
original,8,39,9,3,4,-1,3,2909,True
original,8,40,10,2,2,0,3,2909,True
original,8,41,11,3,3,0,3,2909,True
original,8,42,12,3,4,-1,3,2909,True
original,8,43,13,3,4,-1,3,2909,True
original,8,44,14,3,3,0,3,2909,True
original,8,45,15,2,2,0,3,2909,True
original,8,46,16,3,3,0,3,2909,True
original,8,47,17,3,4,-1,3,2909,True
original,8,48,18,3,4,-1,3,2909,True
original,8,49,19,3,3,0,3,2909,True
