name,toggle_edges,toggle_count,odd_triangle_count,odd_triangle_slots,mean_actual_delta,compressed_count,unchanged_count,expanded_count,delta_counts
original,[],0,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 14]",-0.37555555555555553,294,606,0,"{""-3"": 22, ""-1"": 272, ""0"": 606}"
triangle_neutralized,"[[0, 1], [0, 4], [1, 2], [2, 3], [5, 10]]",5,0,[],-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
control_001,"[[3, 9], [6, 12], [7, 11], [9, 11], [11, 12]]",5,8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",-0.5,390,510,0,"{""-3"": 30, ""-1"": 360, ""0"": 510}"
control_002,"[[1, 2], [4, 5], [4, 9], [7, 10], [9, 11]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14]",-0.4688888888888889,366,534,0,"{""-3"": 28, ""-1"": 338, ""0"": 534}"
control_003,"[[0, 1], [2, 3], [2, 7], [10, 11], [11, 12]]",5,4,"[0, 4, 5, 7, 9, 10, 11, 12, 14]",-0.3244444444444444,246,654,0,"{""-3"": 18, ""-2"": 10, ""-1"": 218, ""0"": 654}"
control_004,"[[0, 1], [0, 5], [2, 8], [4, 9], [5, 14]]",5,2,"[1, 2, 3, 4, 7, 9]",-0.23333333333333334,174,726,0,"{""-3"": 12, ""-2"": 12, ""-1"": 150, ""0"": 726}"
control_005,"[[0, 5], [0, 6], [4, 5], [7, 10], [8, 14]]",5,6,"[0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 13, 14]",-0.4088888888888889,318,582,0,"{""-3"": 24, ""-2"": 2, ""-1"": 292, ""0"": 582}"
control_006,"[[0, 1], [1, 7], [2, 7], [3, 8], [8, 14]]",5,4,"[0, 1, 2, 4, 5, 7, 8, 10, 13, 14]",-0.3488888888888889,270,630,0,"{""-3"": 20, ""-2"": 4, ""-1"": 246, ""0"": 630}"
control_007,"[[2, 8], [4, 5], [5, 10], [10, 11], [13, 14]]",5,4,"[0, 1, 2, 6, 7, 8, 10, 11, 13, 14]",-0.3511111111111111,270,630,0,"{""-3"": 20, ""-2"": 6, ""-1"": 244, ""0"": 630}"
control_008,"[[2, 8], [5, 14], [7, 11], [9, 11], [9, 12]]",5,4,"[0, 1, 2, 4, 5, 6, 7, 10, 11]",-0.3244444444444444,246,654,0,"{""-3"": 18, ""-2"": 10, ""-1"": 218, ""0"": 654}"
control_009,"[[0, 1], [0, 4], [5, 10], [9, 11], [13, 14]]",5,4,"[1, 2, 3, 7, 8, 9, 11, 12, 13, 14]",-0.35555555555555557,270,630,0,"{""-3"": 20, ""-2"": 10, ""-1"": 240, ""0"": 630}"
control_010,"[[0, 1], [0, 5], [6, 13], [9, 12], [12, 13]]",5,4,"[1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 14]",-0.3844444444444444,294,606,0,"{""-3"": 22, ""-2"": 8, ""-1"": 264, ""0"": 606}"
control_011,"[[1, 7], [6, 12], [8, 14], [10, 14], [12, 13]]",5,4,"[0, 1, 2, 3, 4, 5, 6, 8, 13, 14]",-0.3511111111111111,270,630,0,"{""-3"": 20, ""-2"": 6, ""-1"": 244, ""0"": 630}"
control_012,"[[2, 7], [5, 14], [6, 12], [10, 11], [10, 14]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14]",-0.4688888888888889,366,534,0,"{""-3"": 28, ""-1"": 338, ""0"": 534}"
control_013,"[[1, 2], [5, 14], [6, 12], [10, 11], [13, 14]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14]",-0.4688888888888889,366,534,0,"{""-3"": 28, ""-1"": 338, ""0"": 534}"
control_014,"[[1, 7], [3, 8], [3, 9], [6, 12], [7, 11]]",5,6,"[0, 1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14]",-0.44222222222222224,342,558,0,"{""-3"": 26, ""-2"": 4, ""-1"": 312, ""0"": 558}"
control_015,"[[1, 2], [1, 6], [2, 3], [5, 14], [8, 13]]",5,2,"[0, 4, 5, 8, 13, 14]",-0.23333333333333334,174,726,0,"{""-3"": 12, ""-2"": 12, ""-1"": 150, ""0"": 726}"
control_016,"[[2, 3], [6, 13], [9, 12], [10, 14], [12, 13]]",5,4,"[0, 1, 2, 4, 5, 6, 7, 9, 11, 12]",-0.35555555555555557,270,630,0,"{""-3"": 20, ""-2"": 10, ""-1"": 240, ""0"": 630}"
control_017,"[[0, 1], [0, 5], [3, 9], [5, 14], [9, 11]]",5,4,"[1, 2, 3, 4, 7, 8, 9, 11, 12]",-0.3244444444444444,246,654,0,"{""-3"": 18, ""-2"": 10, ""-1"": 218, ""0"": 654}"
control_018,"[[4, 5], [6, 12], [7, 11], [10, 14], [13, 14]]",5,6,"[0, 1, 2, 3, 6, 7, 8, 10, 11, 12, 13, 14]",-0.4111111111111111,318,582,0,"{""-3"": 24, ""-2"": 4, ""-1"": 290, ""0"": 582}"
control_019,"[[0, 6], [1, 2], [3, 4], [3, 9], [7, 11]]",5,4,"[0, 2, 3, 4, 5, 7, 8, 10, 11, 14]",-0.3511111111111111,270,630,0,"{""-3"": 20, ""-2"": 6, ""-1"": 244, ""0"": 630}"
control_020,"[[0, 1], [2, 7], [4, 9], [11, 12], [13, 14]]",5,6,"[0, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14]",-0.41333333333333333,318,582,0,"{""-3"": 24, ""-2"": 6, ""-1"": 288, ""0"": 582}"
control_021,"[[1, 2], [1, 6], [1, 7], [11, 12], [12, 13]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",-0.5,390,510,0,"{""-3"": 30, ""-1"": 360, ""0"": 510}"
control_022,"[[3, 8], [5, 14], [9, 11], [12, 13], [13, 14]]",5,6,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14]",-0.44222222222222224,342,558,0,"{""-3"": 26, ""-2"": 4, ""-1"": 312, ""0"": 558}"
control_023,"[[0, 1], [1, 6], [4, 5], [6, 13], [10, 11]]",5,6,"[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14]",-0.44,342,558,0,"{""-3"": 26, ""-2"": 2, ""-1"": 314, ""0"": 558}"
control_024,"[[0, 1], [1, 2], [5, 10], [10, 14], [13, 14]]",5,4,"[0, 2, 3, 4, 5, 8, 10, 13, 14]",-0.32,246,654,0,"{""-3"": 18, ""-2"": 6, ""-1"": 222, ""0"": 654}"
control_025,"[[1, 7], [6, 12], [7, 10], [8, 13], [12, 13]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14]",-0.44,342,558,0,"{""-3"": 26, ""-2"": 2, ""-1"": 314, ""0"": 558}"
control_026,"[[4, 9], [5, 14], [7, 11], [10, 11], [10, 14]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14]",-0.4088888888888889,318,582,0,"{""-3"": 24, ""-2"": 2, ""-1"": 292, ""0"": 582}"
control_027,"[[0, 4], [0, 5], [2, 7], [3, 4], [4, 9]]",5,4,"[0, 1, 2, 3, 4, 5, 6, 8, 10, 14]",-0.3488888888888889,270,630,0,"{""-3"": 20, ""-2"": 4, ""-1"": 246, ""0"": 630}"
control_028,"[[0, 1], [0, 6], [2, 3], [2, 7], [2, 8]]",5,4,"[0, 1, 2, 3, 4, 5, 6, 8, 10, 14]",-0.3466666666666667,270,630,0,"{""-3"": 20, ""-2"": 2, ""-1"": 248, ""0"": 630}"
control_029,"[[0, 1], [3, 9], [8, 13], [9, 12], [12, 13]]",5,8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",-0.5,390,510,0,"{""-3"": 30, ""-1"": 360, ""0"": 510}"
control_030,"[[3, 4], [6, 13], [7, 10], [8, 13], [10, 14]]",5,8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",-0.5,390,510,0,"{""-3"": 30, ""-1"": 360, ""0"": 510}"
control_031,"[[0, 5], [1, 7], [5, 14], [10, 14], [12, 13]]",5,4,"[0, 1, 2, 3, 5, 6, 8, 10, 12, 13, 14]",-0.38,294,606,0,"{""-3"": 22, ""-2"": 4, ""-1"": 268, ""0"": 606}"
control_032,"[[0, 5], [8, 13], [8, 14], [10, 11], [13, 14]]",5,6,"[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 14]",-0.4088888888888889,318,582,0,"{""-3"": 24, ""-2"": 2, ""-1"": 292, ""0"": 582}"
control_033,"[[0, 1], [0, 5], [1, 2], [2, 3], [5, 14]]",5,0,[],-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
control_034,"[[0, 6], [6, 13], [7, 11], [8, 13], [9, 12]]",5,8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",-0.5,390,510,0,"{""-3"": 30, ""-1"": 360, ""0"": 510}"
control_035,"[[1, 7], [4, 5], [4, 9], [9, 12], [12, 13]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]",-0.4711111111111111,366,534,0,"{""-3"": 28, ""-2"": 2, ""-1"": 336, ""0"": 534}"
control_036,"[[0, 5], [3, 4], [5, 14], [8, 13], [8, 14]]",5,4,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",-0.32222222222222224,246,654,0,"{""-3"": 18, ""-2"": 8, ""-1"": 220, ""0"": 654}"
control_037,"[[0, 1], [2, 3], [2, 7], [3, 4], [7, 11]]",5,4,"[0, 3, 4, 5, 7, 9, 10, 11, 14]",-0.32222222222222224,246,654,0,"{""-3"": 18, ""-2"": 8, ""-1"": 220, ""0"": 654}"
control_038,"[[1, 6], [3, 8], [6, 13], [11, 12], [12, 13]]",5,4,"[0, 1, 2, 4, 5, 7, 9, 10, 11, 12, 14]",-0.3844444444444444,294,606,0,"{""-3"": 22, ""-2"": 8, ""-1"": 264, ""0"": 606}"
control_039,"[[3, 4], [3, 8], [4, 9], [6, 12], [10, 11]]",5,6,"[0, 1, 2, 4, 5, 6, 7, 10, 11, 12, 13, 14]",-0.41333333333333333,318,582,0,"{""-3"": 24, ""-2"": 6, ""-1"": 288, ""0"": 582}"
control_040,"[[0, 4], [0, 6], [2, 3], [4, 9], [5, 14]]",5,2,"[1, 2, 3, 4, 7, 9]",-0.23333333333333334,174,726,0,"{""-3"": 12, ""-2"": 12, ""-1"": 150, ""0"": 726}"
control_041,"[[4, 5], [8, 13], [9, 11], [12, 13], [13, 14]]",5,6,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",-0.4711111111111111,366,534,0,"{""-3"": 28, ""-2"": 2, ""-1"": 336, ""0"": 534}"
control_042,"[[0, 5], [3, 8], [5, 14], [8, 14], [12, 13]]",5,4,"[0, 1, 2, 6, 7, 8, 12, 13, 14]",-0.32222222222222224,246,654,0,"{""-3"": 18, ""-2"": 8, ""-1"": 220, ""0"": 654}"
control_043,"[[2, 7], [3, 4], [8, 14], [10, 14], [12, 13]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 12, 13, 14]",-0.4111111111111111,318,582,0,"{""-3"": 24, ""-2"": 4, ""-1"": 290, ""0"": 582}"
control_044,"[[1, 6], [2, 3], [6, 13], [8, 14], [10, 11]]",5,6,"[0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14]",-0.44,342,558,0,"{""-3"": 26, ""-2"": 2, ""-1"": 314, ""0"": 558}"
control_045,"[[0, 6], [1, 2], [2, 3], [2, 7], [3, 8]]",5,4,"[0, 1, 2, 3, 4, 5, 7, 8, 10, 14]",-0.3466666666666667,270,630,0,"{""-3"": 20, ""-2"": 2, ""-1"": 248, ""0"": 630}"
control_046,"[[0, 5], [3, 9], [4, 9], [5, 10], [11, 12]]",5,4,"[0, 1, 2, 3, 6, 7, 8, 9, 11, 12]",-0.35333333333333333,270,630,0,"{""-3"": 20, ""-2"": 8, ""-1"": 242, ""0"": 630}"
control_047,"[[0, 5], [1, 7], [6, 12], [9, 12], [13, 14]]",5,6,"[0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14]",-0.44222222222222224,342,558,0,"{""-3"": 26, ""-2"": 4, ""-1"": 312, ""0"": 558}"
control_048,"[[0, 1], [4, 5], [6, 12], [8, 14], [10, 11]]",5,6,"[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14]",-0.4111111111111111,318,582,0,"{""-3"": 24, ""-2"": 4, ""-1"": 290, ""0"": 582}"
control_049,"[[0, 4], [2, 7], [3, 9], [4, 9], [6, 13]]",5,4,"[0, 1, 2, 3, 5, 6, 8, 10, 12, 13, 14]",-0.38222222222222224,294,606,0,"{""-3"": 22, ""-2"": 6, ""-1"": 266, ""0"": 606}"
control_050,"[[1, 7], [2, 8], [3, 8], [4, 5], [5, 14]]",5,2,"[0, 1, 2, 3, 6, 8]",-0.2311111111111111,174,726,0,"{""-3"": 12, ""-2"": 10, ""-1"": 152, ""0"": 726}"
control_051,"[[0, 5], [2, 7], [6, 13], [7, 10], [8, 13]]",5,6,"[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14]",-0.44,342,558,0,"{""-3"": 26, ""-2"": 2, ""-1"": 314, ""0"": 558}"
control_052,"[[0, 4], [1, 7], [5, 10], [6, 13], [8, 13]]",5,4,"[0, 1, 2, 3, 6, 8, 12, 13, 14]",-0.32222222222222224,246,654,0,"{""-3"": 18, ""-2"": 8, ""-1"": 220, ""0"": 654}"
control_053,"[[0, 4], [2, 7], [3, 9], [4, 5], [10, 11]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14]",-0.43777777777777777,342,558,0,"{""-3"": 26, ""-1"": 316, ""0"": 558}"
control_054,"[[0, 4], [1, 2], [3, 8], [7, 11], [8, 13]]",5,4,"[0, 1, 5, 6, 7, 8, 10, 11, 13, 14]",-0.3511111111111111,270,630,0,"{""-3"": 20, ""-2"": 6, ""-1"": 244, ""0"": 630}"
control_055,"[[0, 6], [1, 2], [1, 6], [2, 7], [4, 9]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14]",-0.4066666666666667,318,582,0,"{""-3"": 24, ""-1"": 294, ""0"": 582}"
control_056,"[[0, 1], [4, 5], [5, 14], [6, 13], [8, 14]]",5,4,"[1, 2, 3, 6, 7, 8, 12, 13, 14]",-0.32222222222222224,246,654,0,"{""-3"": 18, ""-2"": 8, ""-1"": 220, ""0"": 654}"
control_057,"[[0, 1], [1, 2], [6, 12], [10, 11], [13, 14]]",5,6,"[0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14]",-0.44,342,558,0,"{""-3"": 26, ""-2"": 2, ""-1"": 314, ""0"": 558}"
control_058,"[[0, 4], [1, 6], [2, 7], [3, 8], [7, 11]]",5,2,"[5, 7, 10, 11, 14]",-0.20444444444444446,150,750,0,"{""-3"": 10, ""-2"": 14, ""-1"": 126, ""0"": 750}"
control_059,"[[1, 6], [5, 14], [6, 13], [7, 11], [8, 13]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14]",-0.4688888888888889,366,534,0,"{""-3"": 28, ""-1"": 338, ""0"": 534}"
control_060,"[[1, 7], [2, 7], [5, 14], [6, 12], [7, 10]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13]",-0.44,342,558,0,"{""-3"": 26, ""-2"": 2, ""-1"": 314, ""0"": 558}"
