name,is_neutralizer,toggle_edges,mean_actual_delta,compressed_count,unchanged_count,expanded_count,delta_counts,signed_distance_counts
zero_odd_000,True,"[[0, 1], [0, 4], [1, 2], [2, 3], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_001,False,"[[0, 1], [0, 4], [1, 2], [2, 3], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_002,False,"[[0, 1], [0, 4], [1, 2], [2, 3], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_003,False,"[[0, 1], [0, 4], [1, 2], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_004,False,"[[0, 1], [0, 4], [1, 2], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_005,False,"[[0, 1], [0, 4], [1, 2], [2, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 6, ""6"": 2}"
zero_odd_006,False,"[[0, 1], [0, 4], [1, 2], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_007,False,"[[0, 1], [0, 4], [1, 2], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_008,False,"[[0, 1], [0, 4], [1, 2], [3, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 6, ""6"": 2}"
zero_odd_009,False,"[[0, 1], [0, 4], [1, 7], [2, 3], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_010,False,"[[0, 1], [0, 4], [1, 7], [2, 3], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_011,False,"[[0, 1], [0, 4], [1, 7], [2, 3], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_012,False,"[[0, 1], [0, 4], [1, 7], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_013,False,"[[0, 1], [0, 4], [1, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_014,False,"[[0, 1], [0, 4], [1, 7], [2, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_015,False,"[[0, 1], [0, 4], [1, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_016,False,"[[0, 1], [0, 4], [1, 7], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_017,False,"[[0, 1], [0, 4], [1, 7], [3, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_018,False,"[[0, 1], [0, 4], [2, 3], [2, 7], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_019,False,"[[0, 1], [0, 4], [2, 3], [2, 7], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_020,False,"[[0, 1], [0, 4], [2, 3], [2, 7], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 6, ""6"": 2}"
zero_odd_021,False,"[[0, 1], [0, 4], [2, 7], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_022,False,"[[0, 1], [0, 4], [2, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_023,False,"[[0, 1], [0, 4], [2, 7], [2, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_024,False,"[[0, 1], [0, 4], [2, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_025,False,"[[0, 1], [0, 4], [2, 7], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_026,False,"[[0, 1], [0, 4], [2, 7], [3, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_027,False,"[[0, 1], [0, 5], [1, 2], [2, 3], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_028,False,"[[0, 1], [0, 5], [1, 2], [2, 3], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_029,False,"[[0, 1], [0, 5], [1, 2], [2, 3], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_030,False,"[[0, 1], [0, 5], [1, 2], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_031,False,"[[0, 1], [0, 5], [1, 2], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_032,False,"[[0, 1], [0, 5], [1, 2], [2, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 6, ""6"": 2}"
zero_odd_033,False,"[[0, 1], [0, 5], [1, 2], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_034,False,"[[0, 1], [0, 5], [1, 2], [3, 8], [5, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 6, ""6"": 2}"
zero_odd_035,False,"[[0, 1], [0, 5], [1, 2], [3, 8], [10, 14]]",-0.04888888888888889,22,878,0,"{""-2"": 22, ""0"": 878}","{""2"": 210, ""3"": 300, ""4"": 382, ""6"": 8}"
zero_odd_036,False,"[[0, 1], [0, 5], [1, 7], [2, 3], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_037,False,"[[0, 1], [0, 5], [1, 7], [2, 3], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_038,False,"[[0, 1], [0, 5], [1, 7], [2, 3], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_039,False,"[[0, 1], [0, 5], [1, 7], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_040,False,"[[0, 1], [0, 5], [1, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_041,False,"[[0, 1], [0, 5], [1, 7], [2, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_042,False,"[[0, 1], [0, 5], [1, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_043,False,"[[0, 1], [0, 5], [1, 7], [3, 8], [5, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 6, ""6"": 2}"
zero_odd_044,False,"[[0, 1], [0, 5], [1, 7], [3, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 6, ""6"": 2}"
zero_odd_045,False,"[[0, 1], [0, 5], [2, 3], [2, 7], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_046,False,"[[0, 1], [0, 5], [2, 3], [2, 7], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_047,False,"[[0, 1], [0, 5], [2, 3], [2, 7], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 6, ""6"": 2}"
zero_odd_048,False,"[[0, 1], [0, 5], [2, 7], [2, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_049,False,"[[0, 1], [0, 5], [2, 7], [2, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_050,False,"[[0, 1], [0, 5], [2, 7], [2, 8], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_051,False,"[[0, 1], [0, 5], [2, 7], [3, 8], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_052,False,"[[0, 1], [0, 5], [2, 7], [3, 8], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_053,False,"[[0, 1], [0, 5], [2, 7], [3, 8], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 6, ""6"": 2}"
zero_odd_054,False,"[[0, 1], [1, 2], [2, 3], [4, 5], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_055,False,"[[0, 1], [1, 2], [2, 3], [4, 5], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_056,False,"[[0, 1], [1, 2], [2, 3], [4, 5], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_057,False,"[[0, 1], [1, 2], [2, 8], [4, 5], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_058,False,"[[0, 1], [1, 2], [2, 8], [4, 5], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_059,False,"[[0, 1], [1, 2], [2, 8], [4, 5], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_060,False,"[[0, 1], [1, 2], [3, 8], [4, 5], [5, 10]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 6, ""6"": 2}"
zero_odd_061,False,"[[0, 1], [1, 2], [3, 8], [4, 5], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_062,False,"[[0, 1], [1, 2], [3, 8], [4, 5], [10, 14]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 6, ""6"": 2}"
zero_odd_063,False,"[[0, 1], [1, 7], [2, 3], [4, 5], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_064,False,"[[0, 1], [1, 7], [2, 3], [4, 5], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_065,False,"[[0, 1], [1, 7], [2, 3], [4, 5], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_066,False,"[[0, 1], [1, 7], [2, 8], [4, 5], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_067,False,"[[0, 1], [1, 7], [2, 8], [4, 5], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_068,False,"[[0, 1], [1, 7], [2, 8], [4, 5], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_069,False,"[[0, 1], [1, 7], [3, 8], [4, 5], [5, 10]]",-0.05555555555555555,28,872,0,"{""-2"": 22, ""-1"": 6, ""0"": 872}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 6, ""6"": 2}"
zero_odd_070,False,"[[0, 1], [1, 7], [3, 8], [4, 5], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_071,False,"[[0, 1], [1, 7], [3, 8], [4, 5], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_072,False,"[[0, 1], [2, 3], [2, 7], [4, 5], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_073,False,"[[0, 1], [2, 3], [2, 7], [4, 5], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_074,False,"[[0, 1], [2, 3], [2, 7], [4, 5], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_075,False,"[[0, 1], [2, 7], [2, 8], [4, 5], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_076,False,"[[0, 1], [2, 7], [2, 8], [4, 5], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_077,False,"[[0, 1], [2, 7], [2, 8], [4, 5], [10, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_078,False,"[[0, 1], [2, 7], [3, 8], [4, 5], [5, 10]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
zero_odd_079,False,"[[0, 1], [2, 7], [3, 8], [4, 5], [5, 14]]",-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}","{""2"": 210, ""3"": 300, ""4"": 382, ""5"": 8}"
